Time	Status	Genotype	Treatment
72	1	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
168	0	w-	uc
4	1	w-	pe
24	1	w-	pe
24	1	w-	pe
48	1	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
168	0	w-	pe
144	1	rel	uc
168	1	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
168	0	rel	uc
24	1	rel	pe
24	1	rel	pe
24	1	rel	pe
24	1	rel	pe
24	1	rel	pe
24	1	rel	pe
24	1	rel	pe
48	1	rel	pe
48	1	rel	pe
48	1	rel	pe
48	1	rel	pe
48	1	rel	pe
72	1	rel	pe
72	1	rel	pe
120	1	rel	pe
144	1	rel	pe
144	1	rel	pe
168	1	rel	pe
168	0	rel	pe
168	0	rel	pe
168	0	rel	pe
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
168	0	ms771/tm6b	uc
4	1	ms771/tm6b	pe
4	1	ms771/tm6b	pe
4	1	ms771/tm6b	pe
4	1	ms771/tm6b	pe
4	1	ms771/tm6b	pe
4	1	ms771/tm6b	pe
4	1	ms771/tm6b	pe
4	1	ms771/tm6b	pe
4	1	ms771/tm6b	pe
4	1	ms771/tm6b	pe
4	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
