Time	Status	Genotype	Treatment
24	1	w-	uc
48	1	w-	uc
72	1	w-	uc
72	1	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	uc
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
24	1	ms771	uc
24	1	ms771	uc
24	1	ms771	uc
48	1	ms771	uc
48	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	0	ms771	uc
72	0	ms771	uc
72	0	ms771	uc
72	0	ms771	uc
72	0	ms771	uc
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
48	1	ms771	pe
48	1	ms771	pe
48	1	ms771	pe
